submission_title,submission_text,top_comment_1_classification
AITA for yelling at my mom that I hate Harry Potter and to LET ME LIVE MY OWN LIFE,"as my title suggests, my mom is a huge harry potter nut. she and my dad actually met in a harry potter “irc” (like disord but for old people) in the early 00s got married had kids and from day one decided to embarrass us for life by naming us after some harry potter and star wars characters.

it’s honestly been hell. i have a stupid name and since we were little my parents have forced stuff like harry potter, star wars, marvel movies, etc etc down our throats. everything is about dragons and magic and blah blah blah. i’m so sick of it. every birthday every holiday everything is just organized around “fandom.”

so just like every christmas the days leading up to christmas we have to sit down every night and watch harry potter movies. it’s. so. fucking. boring!!!! i can usually get away with knitting or drawing on my ipad during this but this year my mom was like “let’s just have a technology and distraction free night every night”

i arranged to go over to my friend missy’s house instead for like two nights. missy’s family is normal and likes things a normal amount. my mom got really mad and started talking about how it’s a family tradition and how i’m basically rejecting her and went on her whole thing about how “you wouldn’t exist if it wasn’t for harry potter.”

i finally had it and just yelled “nobody cares that you were a big name in the harry potter fan club!!! i don’t like harry potter! i don’t like star wars! i hate marvel movies they’re all so boring please just let me have my own interests!”

i couldn’t help it i started crying because i was just so frustrated because everything always has to be about harry potter this star wars that and now that we’re all older they started doing game of thrones. everything is centered around some kind of movie or tv show or book series. 

just onces i want my family to band around something that doesn’t have to do with media or these nerdy things. we live in utah where we have like 5 national parks and even though i ask every year for my birthday i’ve never even been to arches!!!! 

well my sister called me saying that mom was angry and to just come home and to stop with the theatrics. i told her that i’m sick of having all this old “nerd” stuff crammed down my throat and just once i want to have a normal time watching normal christmas movies and not having to pause for “lightsabre battles”.”

aita?!??!

**hey guys** i know you think you're ""cool"" and ""in on the joke"" wink wink when you dm me and ask me for my name, but i'm a teenage girl and that's not really how it's coming across. please stop dming me i don't care.

**for those of you telling me in dms ""irc didn't do fandom"" it was part of a ""livejournal"" community. someone in the community had a fan site they all liked. it had a chatroom. i'm sure there was other stuff too?",NTA
AITA for telling my wife the lock on my daughter's door does not get removed til my brother inlaw and his daughters are out of our house?,"my brother in-law (sammy) lost his home shortly after his divorce 10 months ago. he moved in with us and brought his twin daughters (olivia &amp; sloane18) with him a couple of months ago.
his sister (my wife) and i have one daughter (zoey 16) and she and her cousins aren't close but get along fine.

olivia &amp; sloane have no respect for zoey's privacy, none. they used to walk into her room and take everything they get their hands on. makeup, phone accessories, clothes, school laptop etc. zoey complained a lot and i've already asked the girls to respect zoey's privacy and stop taking things. my wife and sammy saw no issue with this. after all, they're girls and this's typical teenage girls behavior. i completely disagreed. 

last straw was when zoey bought a 60$ m.a.c makeup-kit that looks like a paintset that she saved up for over a month and one of the girls, sloane took it without permission and ruined it by mixing shades together while using it. don't know much about makeup but that's what zoey said when she found the kit on her bed, and was crying.
i told my wife and she said she'd ask sloane to apologize but i got zoey a lock after i found she was moving valuable belongings out the house because of this incidence!!!

sammy and his daughters saw the lock and weren't happy, the girls were extremely upset.
sammy asked about it and i straight up told him. he said ""my daughters aren't thieves!!! it's normal that girls of the same age borrow each others stuff"" he said zoey could easily get another makeup kit for 15 bucks from walmart and shouldn't even be buying expensive - adult makeup in the first place and suggested my wife take care of this ""defect"" in zoey's personality trying to appear older than she is.
he accused me of being overprotective and babying zoey with this level of enablement.

i told him this's between me and my wife but she shamed me for putting a lock on zoey's door for her cousins to see and preventing them from ""spending time"" with her saying i was supposed to treat them like daughters, then demanded i remove it but i said this lock does not get removed til her brother and his daughters are out of our house.

she got mad i was implying we kick them out and said her family'll hate me for this. so i reminded her that i let sammy and his family move in which's something her own family refused to do so she should start with shaming/blaming them for not taking their own son and nieces/granddaughters in. if it wasn't for her family's unwillingness to help we wouldn't be dealing with this much disturbance at home.

everyone's been giving me and zoey silent treatment and my wife is very much upset over this.",NTA
AITA for posting a picture of my vegan sister in leather boots?,"my sister has a large-ish instagram following ( like 10k followers) and her ig mostly talks about veganism, cruelty free recipes, fashion ,stuff like that. i have a little fashion page, it is something i do for fun. we both live with our grandmother. she’s 22 i’m 19. 

my grandmother collects clothes. we have been going through her collection for a couple of hours a day, and finding some really cool vintage stuff from the 50s-80s. everything is in pristine condition. my sister and i have both asked to have a lot of stuff.  my sister is smaller than me so had an easier time fitting into all of the cool bohemian stuff from the late 1960s (grandma was in her mid 20s) a lot of the things in my size were 80s jumpsuits, not my thing. 

i found several pairs of very cool shoes. the most iconic of them all being a pair of white patent leather gogo boots with beautiful beading down the side and some suede thigh highs with a little fringe. i found them first. i knew i could make a killing online selling them, so i rushed to ask my grandmother if i could have them. she initially said yes, but when my sister saw them she begged to try them on. of course they fit her. they didn’t fit me. she begged my grandmother to let her have them and she said that she would think about it. 

my sister asked me what i was going to do with them, and i told her that i was going to sell them! i could get between $800- $1000 for them. she shamed me for trying to sell grandmas stuff. she said that she would actually wear them and take care of them, so she deserved them. i disagreed. i also pointed out that she was vegan, why she would want leather shoes anyway. she said that used stuff and heirlooms don’t count. she went off to talk to my grandmother by herself that night. my grandmother ended up giving the shoes to her. 

my sister got all excited and was trying the shoes on with a bunch of different outfits. i asked her if i could take a picture of some of the outfits, she let me. i posted them to my ig, tagged her in the pictures and mentioned everything she was wearing, including the leather boots. my post happened to get a lot of engagement from her followers, and a lot of them were mad. she ended up losing like three hundred followers, and it became kind of a scandal. 

she got mad at me and caused me of trying to sabotage her for captioning the picture the way i did, and being jealous that she got the shoes. she told me to take the picture down. i did. she said that i could cost her or lose sponsors and money. i pointed out the money she cost me by sucking up for those shoes that i found first. 

she hasn’t lost any more followers, and has been doing damage control, but she’s still angry at me. i think she’s a hypocrite for wearing the shoes in the first place, and i asked her before taking the pictures. but i feel bad about how stressed out she’s feeling and the crazy backlash that she’s receiving, so aita for posting them?",YTA
AITA for telling my boyfriend not to be his best friend’s best man in his wedding?,"throwaway account but i need some opinions.

i (26f) have been with my boyfriend (27m) for 2 years. we recently found out that we are expecting a baby, and we’re both excited about it. he has a best friend (27m) that got engaged to his fiancée (24f) over the summer, and they plan on getting married in may. he asked my boyfriend to be the best man (they’ve known each other since childhood).

now here’s the conflict: the fiancée and i had a falling out last year. we used to be really close, but she pulled a complete 180 on me and went behind my back. when i confronted her about it back then, she looked completely confused and asked what she did and how she can fix it. i wanted to believe her but i felt that she should’ve known already why i was mad at her. my boyfriend is still close to both his best friend and the fiancée to this day since he’s known them before dating me. he mentioned that he could bring me to the wedding in case something happens with my pregnancy. i told him that i wasn’t going to sit through and watch someone who betrayed me celebrate love. my boyfriend understood that, but he told me that being the best man was very important to him. i lost it and told him that if i’m not going to the wedding, then he shouldn’t be his best man and should prioritize me and the baby. he dropped the conversation after that.

i told some of my friends this, and they said though the pregnancy is important for him to be attentive to, i should move on from the drama and let him be there for his best friend’s big day. i still stand firm because it’d be awkward with his fiancé if i went, and his best friend can find someone else to be his best man. aita?",YTA
"AITA for insisting if I can't have my partner over, neither can anyone else?","throwaway bc flatmates have reddit. 

so i [20m] live in a flat with 3 other people; childhood best friend [23f], a guy from my uni course [20m] and his cousin [26f]. for the most part we get along really well and rarely have disagreements. however this has been a real point of contention lately. 

about six months ago i began a relationship with a guy i've known for a couple of years [21m]. i know it's still a fairly new relationship but i really like him, he makes me really happy and we're pretty serious about each other. up until recently, he would come visit me at my flat 3-4 times a week. this was mostly due to the fact that i have chronic fatigue and going on ""proper"" dates can be really challenging for me. instead of going out to dinner or a film or whatever, we'd just chill in my room or the living room, watch tv and get takeout or cook together. i didn't really consult anyone about this becsuse a) all the other flatmates have their partners over as often if not moreso and b) he rarely spends the night and usually leaves before 10pm because of his work schedule. 

so the issue: two weeks ago 26f comes to me and tells me that i need to stop having my boyfriend over because it's ""starting to get annoying"". i asked her why and she said it's irritating to have someone who doesn't live there ""skulking around all the time"". i pointed out that her boyfriend sleeps over three nights a week and thus is here more often than mine and she claimed that was different because they've been together for 11 years and are moving in together once her lease is up. she said she's discussed it with the other flatmates and they've all agreed he needs to stop coming over or he has to chip in to the rent because it's ""getting ridiculous"". note: nobody else's partner chips in on the rent. i confirmed with the other two that yes, this is an agreement they've made, though my best friend said 26f basically made her agree by threatening to cut off the wifi and utilities, which are in her name, if she didn't. i asked if this rule applies to everyone but apparently it's just me. i pointed out that it's unfair and was basically told to deal with it.

my potential assholery: i've begun loudly insisting that if my partner isn't allowed to come over, neither is anybody else's.  if i answer the door to anyone's partner i'll send them away. if i come home and someone's partner is there i'll make a point to mention that i thought we weren't having partners who don't pay rent over any more. i've asked 26f's boyfriend over and over how much rent he's paying and pretend to be affronted and make a fuss when he says he doesn't. everyone's pretty pissed at me and is telling me i'm being unreasonable. i know i'm being petty, but i think it's unreasonable that there's one rule for me and another for everyone else and i'm trying to make that point. am i really the asshole here?",NTA
"AITA for supporting my boyfriend when he told my son ""no lock til you're 18""?","i f39 have been with my boyfriend for 4 years. i have a bio son 16 year old son as well as 2 step kids (11 &amp; 13).

my son has been complaining about his younger stepsiblings entering his room and taking his things constantly and without asking. i tried disccusing this with the boys and my boyfriend punished the boys and told them to ask first before taking anything and return it if taken but my son said they haven't listened and things went back to how they were.

few days ago my son came downstairs saying his older stepbrother broke his controller and put it back and told him he returned it like his dad told him but the controller was broken. i again went to my boyfriend with this issue and had my son sit and talk directly to him. my son asked him if he could just get a lock for his room to resolve this issue but my boyfriend didn't welcome the idea and told him no because locks bring troubles to his house but my son tried to convince him and assured him that he won't use the lock when he's home but only when he's at school or working. my boyfriend still said no and then told him ""no lock until you're 18, period, no more discussion"". thing is my son will still be living with us because he decided to go to a community college and my boyfriend told him when he reaches 18 that is when he gets to get a lock and start paying rent and no one will bother him. my son begged me to say something since he couldn't take it anymore after his controller was broken but i agreed with my boyfriend that as the owner of the house he gets final say and no lock means no luck. however, the boys will be facing stricter punishments to enforce the ""no touching others stuff"" rule but my son was having none of it and started yelling at me and my boyfriend saying his stepbrothers will never respect his privacy and his stuff nomatter how hard their punshement is since they never learn and are stubborn and will always do what they want. he picked an argument with my boyfriend after my boyfriend said he'll pay for the controller and then my son called me awful for siding with him and refusing to see the blatant injustice in this house and told us he's reconsidering staying with us after 18.

he keeps saying i'm not on his side cause if i was i'd be encouraging him set boundaries and protect his stuff that he buys with his own money. i reminded him of how much my boyfriend helped us (we lost our apartment to debts and my boyfriend took us in 2 years ago we had nowhere to go) and let him know he's doing his best to hold the boys accountable.",YTA
AITA for not accepting my sister's relationship with my ex despite her having cancer as a teenager?,"my (25f) father married my step-sister's (23f) mother when i was 4 and she was 3. we've lived together most of our lives and are a family. she and i were extremely close.

she developed cancer when she was 14 and was sick for about 2 years. she's since made a full recovery. during that time, my parents became understandably over-protective. they also asked a lot of me. i quit my extracurriculars so i could get a job (the money went towards her medical bills) and so i could drive her to appointments. i didn't go to dances and any fun activities i did needed to include her. i did almost all of this willingly, the exception being having to quit my high school volleyball team - i did throw a bit of a tantrum about that, but was swiftly punished. and i think having one emotional breakdown was pretty chill given the circumstances.

anyhow, i go to college and meet my ex, we'll call him ben, when i'm a junior. we fall in love, blah blah blah. he and i move in together when we graduate, so we've been living together for about 3 years. we were serious until july when i walked into my bedroom and saw him fucking my sister.

i broke it off, tears were shed, he moved out, etc. my sister apologized at first but then backed off. i thought she was giving me space but last week she called and asked if we could meet up. she told me that she and ben were in love and were just telling me as a courtesy before they started posting photos online. distraught,  i left her in the restaurant by herself and did not pay my portion of the bill. she later venmo'ed me asking for the money.

she told my parents who then called me to their house, telling me how disappointed in me they are for not supporting my sister's relationship with ben. they brought up the fact that because she had cancer as a teenager, she never learned proper social etiquette, and has a hard time meeting people. i don't buy this, in part because i've seen her socialize just fine and since we spent a good chunk of the time she was sick together, that would also mean that i should have bad social skills as well, by that logic. they then told me that if i don't accept my sister and ben's relationship, they may have to go no contact with me. i reminded them that i'm also their daughter and they should understand my point of view, but they are adamant that this is about me being jealous of her.

for the record: i'm not jealous of her. i'm not upset that ben picked her over me. i'm sad about the end of the relationship and do feel betrayed, but lord knows that i don't want to be with a cheater. what i'm upset about is the fact that my sister chose ben over me. that she slept with ben knowing he and i were in a long-term, committed relationship, and continues to be with him knowing how much it hurts me.

now no one in my immediate family is talking to me and i'm getting messages from aunts and uncles and cousins telling me that i'm an asshole and a selfish bitch.

&amp;#x200b;

&amp;#x200b;",NTA
AITA for putting my dog's wee-wee pads on the bathroom floor b/c my BF has bad aim and keeps missing the toilet?,"my boyfriend (30/m) and i (28/f) have been together about a year and when our city implemented lockdown for the virus, he decided to quarantine with me at my apartment as i live alone and have a nicer apartment and he has several roommates.

mostly it has been going well and thankfully we both still have jobs, except in the first few weeks i started noticing that the bathroom floor was suddenly always wet around the toilet. (the sink is across the room from the toilet so it's unlikely to be from the sink.) at first i thought it might be water but soon realized that it was definitely pee. i asked bf about it nicely, and he apologized and said sometimes he has bad aim. i asked him to try a little harder and he said sure.

the floor continued to be frequently spattered with piss, and a few weeks later i confronted him about it again because i think it's pretty gross to step in his pee several times a week, and it seems like an easy thing to fix. if he misses the toilet, i think the very least he could do is make sure to wipe it up with toilet paper or a clorox wipe. (the cleaning supplies even live in a cabinet directly over the toilet.) he said sure, sorry, he would try to remember to do that. 

another week has passed and while maybe he's doing this sometimes, i've continued to step in splatters of his pee and wipe it off the floor and clean the floor several times a week. i thought about asking him to just pee into the bathtub or something instead, because i don't understand how you can pee on the floor by accident so often and not notice and not clean it up.

last night i got up to use the bathroom in the middle of the night and absolutely stepped in piss for the 12312301298th time. i had had it and i didn't want to pick a fight or ask him again since it seems clear he can't or won't change, so i got one of my dog's wee-wee pads from when he was a puppy (he is well trained now) and cut it up a bit and taped it down to make a sort of ""skirt"" or mat around the floor near the toilet to at least absorb the piss. 

bf saw this morning and is furious with me, saying that i'm calling him a dog, comparing him to an animal, etc. honestly, i was not thinking that at all, i just was trying to be resourceful and solve the problem for myself since i don't like piss on my bathroom floor and don't like stepping in it, i didn't feel like arguing about it anymore, and putting a material specifically meant to absorb pee around the area he keeps peeing on by accident seemed like a practical solution. 

aita?",NTA
AITA for refusing to eat from my colleague's vegan birthday cake?,"i (29f) am working in an office and i have a colleague bea, who routinely makes fun of vegans. i am vegan and i never make a fuss about food, i go to the same restaurants as my coworkers during lunch hour and i can always find myself something to eat without announcing my dietary choices. bea keeps calling me out on it though and she's very condescending about it, she keeps saying i am just having a phase and she keeps offering me bites of her lunch that contain cheese and meat, and when i refuse she just goes ""oh come on, its vegan i promise!"" *winkwink*. its very childish and annoying and even other people asked her to tone it down, but she insists shes just joking. 

last week she brought a homemade cake to the office for her birthday, and when she put a slice down in front of me i politely thanked her but i said i cant eat that. she said the cake is vegan and she made it specifically so i could eat it, but knowing her very loose definition of vegan i asked a few questions about the ingredients and she didnt check any of them for milk or eggs, so i thanked her again but refused the slice. she made a big scene out of it, she started crying and saying she just wanted to do something nice for me and now i ruined her birthday. 

some colleagues told me not to mind her dramatics, but my boss told me that it was her birthday and i could have given her cooking the benefit of the doubt. i sort of see his point, but i also feel like i dont need to justify my food choices to anyone and i never asked her to make the cake vegan for me. 

aita?",NTA
AITA for cancelling my son's birthday party upon discovering that he ruined his stepbrother's deceased brother's hoodie?,"
it's a complex situation but i'll do my best to explain.

i m45 have a bio son 'leo', 16 from my previous relationship. i married his step mom who is a mother of two boys 'connor',20 (deceased) and 'derek',12. i've never had the pleasure to meet connor who tragically passed away from a motorcycle accident. derek was so devastated by this loss and although it's been years he's still pretty much grieving.  i've seen tons of pictures and videos of connor and made efforts to get to know who he was as a way to share derek's grief and be there for him to lend an ear and a comforting shoulder. it's safe to say that derek and i grew a strong bond in no time. but my son leo isn't close to derek. understandable because not all siblings and step siblings are the same. leo and derek are different in everything which isn't a bad thing but leo calls himself the brutally honest type and makes insensitive comments about derek most of the time. they tend to be under the guise of 'advice'. derek never complained so i had to step in and tell leo to stop being insensitive towards his stepbrother especially, with everything regarding conner and his memory. leo would say ""ok i get it"" and ""i won't do it again"".

days ago, leo wanted to hang out with friends and asked derek if he wanted to join. derek agreed and put on connor's hoodie before going out. leo commented on the hoodie and called it ugly and asked him to put on something else but derek insisted on wearing it or not go. leo dropped it.

hours later derek came home crying with his hoodie in hand. he said leo and friends cut it into pieces while he was in the bathroom after they convinced him to take it off. i was furious i asked leo and he said it was his friend's idea then said he had to do it since derek wears it everywhere and it looked old and embarrassing. i reminded him who this hoodie belonged to and he said ""so what, maybe this will help him move on in life"". i told him his birthday was cancelled and his friends aren't welcome anymore.
he pitched a fit saying his birthday was a right not a privilege and i can't cancel it. he had my ex criticize my decision and wanted to host his birthday party but i refused because he's grounded so no party anywhere. she and her family called me awful and ridiculous and asked me to think how leo will hate me for this but i insisted he needed punishment for putting his stepbrother through this.

note: the hoodie belonged to conner when he was younger and derek kept it.",NTA
"AITA for giving my MIL a fake copy of my house key and ""exposing"" her on Christmas dinner?","
i wanna preface this by saying that i f34 married my husband m37 a year ago. his mom is snoopy and annoying af. she can't help it that is just how she is as my dear in laws say.


my husband and i purchased a new house recently. my mil kept pushing to get an emergency key, she promised that she only use it in an emergency but giving the fact that she had an emergency key to our old apartment and walked in on us being intimate twice (but my husband didn't think it was big deal) i just couldn't trust her so i just sent her a fake key (after she kept pushing) and she had a smug on her face after i hand delivered it to her.


days gone by and on christmas dinner mil angerily ""called me out"" on the fact i gave her a fake copy of the house key. she shamed me for doing this in front of everyone but in my defensive i asked her how she found out and she said days ago when she came over at 4 while my husband and were out. i reminded her ""didn't you promise you wouldn't use it unless there's an emergency? so you tried to get in when there was no emergency and you broke the promise you made to us!"" she looked red in the face and the other family started staring and some even laughed at her for the face she made. she suddenly got up from her seat and rushed into the kitchen where she had a huge meltdown so loud the next door neighbors must've heard - literally i've never heard a 60+ year old woman throw a tantrum like that. needless to say dinner went awkward and my husband and his sister were giving me looks. my husband went off on me in the car and said i lied and manipulated and humiliated and exposed his mom and said he wouldn't have let me get away with it had he known. we had an argument and he is demanding i apologize to his mom for my childish behavior and for ruining christmas dinner for the whole family.

aita?

eta so this went off unexpectedly and i thought i'd show my husband some pretty helpful comments i found here minutes ago but he got mad at me when he saw it and said i was nuts to talk about his family online. he demanded my phone so he could delete it but i refused and i went upstairs and into the bedroom. i never seen him so agitated and i didn't think he'd react like that honestly. but thank you guys for your support. it really means so much. i'll update if i can. thanks again :)",NTA
AITA for insisting I get the phone back despite policy?,"my kids attend a year round school and started back up for the new term 2 weeks ago. my eldest (16f) ended up getting her phone confiscated for using it during class to watch tiktok. we had discussed this before she even got the phone, then had some issues last year. as a last resort, i told her if that happened again, the phone would become mine and she’d get an old flip phone that was my husband’s  with no internet until she could prove trust. 

the school policies had changed this term from a phone would be confiscated until a parent could come get it to a phone would be kept for 2 weeks as a first offense, 3 for second, so on and so forth. i wasn’t okay with this as i don’t trust the school to not lose it (i know they’ve lost/broken other students’ phones) plus i don’t want them having access to my daughter’s private info. i went to the school and requested it back, saying i wouldn’t give it to my daughter but i paid for it. secretary gave me the spiel and i didn’t blame her but asked to speak with the vice principal. he comes out and repeats them. i said okay but i’m the parent, i paid for it and i never signed anything giving you permission to hold it. they were refusing so i said i’d sit in the office until it was given back. i did so and waited for close to 2 hours. finally the principal came out and said i needed to leave. i said if i left, i’d be back with a police escort. at that point, the phone was returned to me.


my husband says i “karen’d” my way out of it. to me, it’s not their property to take. aita?",NTA
AITA for not scheduling the new hire's vacation?,"i'm the manager of a small team at a large company. each manager does their team's schedule. i hired lacey last week.

lacey told me when she accepted the job that she already had non-refundable vacation plans at the end of may. i told her that i did the schedule and would try to accommodate her.

i couldn't accommodate her at all. there's already another team member out. i put up the schedule and was very surprised at an e-mail from lacey regarding her vacation not being scheduled. i informed her we didn't have the flexibility and that she was expected to work.

when i went to my lunch break, i walked by lacey's desk and was surprised to see it packed. she handed me her lanyard and told me she quit. she said that she wasn't losing out on $2500 and that she already had an offer from one of the jobs she turned down that promised her vacation was safe.

i'm now being called into my boss' office because she quit so fast, but in my experience, if you start a new job, you understand that you are last for vacation. my fiancee says that i'm an idiot and she was telling me, not asking me.

tl;dr: didn't grant new girl's vacation request and she quit. am i the asshole for not approving it?",YTA
"AITA telling my niece she can leave after she went against the rules in my home, which she was staying in rent free?",,YTA
AITA for leaving my inlaws christmas dinner after I found out that they didn't make accommodations for me?,"



i got invited to my fiance's family christmas celebratory dinner. it's my first christmas with them. i have always been picky about what i eat. can't help it and it has to do with psychological factors, childhood, and personal likes and dislikes. before accepting their invite i let fmil know that i wouldn't be eating the traditional food at their celebration, and showed her a variety of dishes to choose from to accommodate me. she refused and told me to bring my own dish. i said if i had to bring my own dish when i'm a guest then i better stay at home then. we went back and forth and i insisted i wouldn't come if accommodations weren't being made. i just thought it was a simple request and fmil could've agreed if she really wanted me there. my fiance agreed that i shhould bring my own dish but i didn't.


when we arrived there and i saw that no accommodations were made i got up, go my things and walked out and went home. my fmil and fiance were shocked. i got tons of calls and texts from them both and my fiance came home lashing out calling me selfish and spoiled to walk out like that over a dish that his mom didn't have to make for me. and, that it was my responsibilty to feed myself. how is it my responsibilty to feed myself when i'm a guest? makes no sense to me. i told him this and he accused me of starting shit and ruining my first christmas with his family and disrespecting his mom.



now he's continuelly saying i fucked up and should've sucked it up for the family's sake.


eta to clear few points:


* for those saying i have no respect for my inlaws. i do, especially fmil. i respect her but this is so far the biggest conflict we had.


* i work long hours even on holidays so not much time to cook.


* i wasn't asking for an elaborated dish or several dishes. just one simple option.",YTA
AITA for no longer making toys and furniture for my former SIL after her new husband called them an “embarrassment” and me cheap for not paying for stuff?,"my brother died before his firstborn child was born, because of this i've had an above average involvement in my nephews life. one thing i’ve always done is build him toys and furniture. it was a way of providing without the awkwardness of handing over cash. also, between my late brothers cash and life insurance via work a trust was setup for my nephew for ~£500,000. he wasn’t actually married to my sil.

now via the lab at work i’ve made him a lot of wooden or 3d printed toys, but also some simple handmade electronic toys. my sister in law was always grateful for these and my nephew (by all accounts) loves his custom toys.

fast forward 3 years and my former sister in law has gotten married. i was attending my nephews third birthday and i turned up the night before to assemble his present. it was a small climbing frame/swing set i had watched better carpenters than me in the lab make.

the new husband was a little standoffish but come the day of the party he was telling anyone who listened that i didn’t pay or make the present i had lackies at work do it for free. this culminated in him calling all my “presents” an embarrassment and given my fancy job i could afford to splash some cash.

i confronted him and my former sil and she basically confirmed that whilst the presents were appreciated she honestly expected more direct support from me after my brothers death. my mother stepped in and reminded her my brother paid for this house and they regularly take cash out of the trust (approx £10,000 a year).

we walked out without hearing any worthwhile response but i continued to see my nephew without incident. 6-7 months go by and i’m visiting only to be told my former sil was pregnant with twins and she was wondering if i could make some duplicates of items i made for my nephew as they needed two sets.

i scoffed, said she had balls asking me to make stuff after she was so ungrateful and i owe her unborn children very little. she got upset and explained her prior statements about my handmade gifts and said she felt they were the kinda little things someone did as a favour. not what a family provides. that’s why she’s asking me now as a friend to do her a “favour” and manufacture duplicates.

i said no, again, and her husband shouted through that it didn’t matter they would just use the trust to provide for kids like it’s supposed to. i retorted that it was for my nephew and good luck accessing it for that because the trust requires my signature to pay out.

i wasn’t even home before he was calling me to apologise, clearly unaware i held the reigns to my late brothers money. the apology was insincere and i asked to speak to my former sil where i confirmed again i wouldn’t be manufacturing her anything. i’ll still be an uncle to my nephew and be impartial when it comes to her accessing my nephews trust but her husband has burned a lot my goodwill with this.

aita for not doing her a favour after all that?",NTA
"AITA for disowning my brother when he came out as gay, because of how he's treating his wife?","i (21f) have a brother (28) who came out as gay last month. he has been married to my best friend's big sister (24) for four years, they have 2yo twin daughters together. i'm really close with her, so i've been trying to stay neutral in what has become a messy separation. 

my brother told his wife he's gay by sitting her down, and saying he had been sleeping with two different men for about six months. he said he is now sure that he feels romantic feelings for men, and also told her he has been sleeping with random men from grindr for over a year behind her back. she obviously freaked out, asked him how he could do this, why didn't he tell her when he started having the feelings, etc. he said that he's always thought he was gay but he didn't want to come out because it might affect his career. she asked him what about the effect on her life? she is now a single mother to two toddlers. he was essentially very angry that she wasn't supportive of this, so he kicked her out of the house, with the kids. after she eventually found a place to stay, my brother moved in one of the men he has been having an affair with. 

since then, he has had very little contact with the kids, as in speaking to them on the phone once a week maybe. he has expressed that he still doesn't want to be public about coming out, so he posted on facebook that he has separated from his wife because they aren't in love anymore and hinted she was the unfaithful one (posting things like 'yeah, seems like someone in this relationship wasn't satisfied with just one man') and is basically being a dick.

i told him a couple weeks ago that he's a fucking asshole and i don't want to be involved with him anymore because i think it's disgusting that he's treated his wife like this. i told him i get that you have to come out in your own time, but you don't need to kick her out, ignore your kids and berate her, and you don't need to make comments that people will assume mean she was being unfaithful (he said this was a joke about him having two partners now? still fucked up). he said i'm being a homophobic asshole, and that i don't know how hard it is to come out. he said that if i don't accept him, i'm a bigot. he made mistakes and what not. i said maybe i will forgive him if he improves his behaviour to his wife, and he said he resents her for keeping him from sleeping with men for years. i gave up at this point. my sisters (17&amp;24) both think i'm being homophobic, my mom agrees with me. aita?",NTA
AITA for I telling my childhood bully (who is MtF transgender) that she will always be the “boy who bullied me”?,"when i was a in middle school, i was viciously bullied by this boy, who i’ll call z. he spread rumours about me, called me stupid and useless every chance he got, and made school a living hell. 

it’s been 12 years, and z has since come out as mtf transgender. she messaged me over social media and asked to meet up. we went out for coffee, where she apologised for bullying me. it was along the lines of, “i’m sorry for being mean. i was young, and i was struggling with my gender identity.”

i thanked her for her apology. when she asked if she was forgiven, and i tried to avoid answering. i am still not over what she did to me. what z did to me impacted me greatly, as i was a impressionable young girl. i struggled with self esteem for years afterwards. 

z started getting defensive. she told me that i was being petty and that i should forgive her. i told her, “why? you will always be the boy that bullied me.  an apology won’t change that.” she got really offended when i said the word boy, and said that i was misgendering her. she called me a petty, transphobic, vindictive, and ignorant, then stormed out. 

aita?",NTA
AITA for making my MIL pay for food I ordered after she ruined the one we had?,"my wife and i were hosting a barbecue on sunday. half an hour before the guests arrived we were busy preparing food and my mil was helping us.

while i was busy doing something else i asked my mil to take the pasta salad i had prepared out of the fridge and taste for seasoning. she said that it needed more salt and i told her to add it, but not use the big salt shaker we have, because too much comes out of it. she used it anyways and oversalted the dish. i was really angry and tried to fix it with more mayo but it just didn't taste good. i told my mil that i would have to order a new pasta salad from a local place, which she said wasn't necessary but i did anyways. about 15 minutes after the guests arrived i see the delivery guy at our front door. i tell my mil to get up and she asks why. i tell her that the delivery guy is here so she can pay him. she looks at me stunned and asks ""why should i pay him"". so i have to expain that because she ruined the pasta salad she has to pay for the new one. she finally gets up to pay him but it's incredibly awkward and my wife is giving me the death stare. the guests seem kinda awkward too and my mil didn't talk to me at all for the rest of the party.

after the guests were gone my wife flipped her shit at me. she called me an imbecile and an asshole and said that i embarassed myself and damaged the realationship to her mother. it's been three days and she's still angry about this. aita?",YTA
AITA for taking an Uber to a wedding so I wouldn't be late?,"my sister got married last weekend.  i flew into town and my parents insisted that i stay with them instead of a hotel like i wanted.  

my parents are consistently late for everything.  i think it's a latin thing.  i hate being late.  i think it's disrespectful.  

the wedding was at 2:30.  my folks live about half an hour from the church.  

noon rolls up and my folks aren't even getting ready yet.  

they are adults and i am over dealing with them. 

i get ready. i send for an uber and i am at the church for 2:00. 

i check in with my sister.  she asks me if i had any problems getting my parents to church. i told her that i came by myself.  shebw my white and said that i was responsible for getting them there on time.  

well nobody asked me to do that.  i didn't even want to stay there.  

so now everyone starts calling my parents.  they are getting ready.  

they were about 35 minutes late.  

the service was shortened because there was another wedding later that day.  

everyone is still mad at me for not getting my parents there on time.  my aunt said that i'm an asshole for messing up the timing of the wedding. 

my mom says it's my fault for not reminding them to get ready.  

am i the only one who thinks adults should be able to be on time for their own kid's wedding without help?",NTA
